pair,nunata,ishizu,choi,n+i,n+i+c,,,,,,,,,,,
181,1,0,1,1,2,,,,,,,,,,,
182,1,0,1,1,2,,,,,,,,,,,
183,1,0,1,1,2,,,,,,,,,,,
184,1,0,1,1,2,,,,,,,,,,,
185,1,0,1,1,2,,,,,,,,,,,
186,1,0,1,1,2,,,,,,,,,,,
187,1,0,1,1,2,,,,,,,,,,,
188,1,0,1,1,2,,,,,,,,,,,
189,1,0,1,1,2,,,,,,,,,,,
190,1,0,1,1,2,,,,,,,,,,,
191,1,0,1,1,2,,,,,,,,,,,
192,1,0,1,1,2,,,,,,,,,,,
193,1,0,1,1,2,,,,,,,,,,,
194,1,0,1,1,2,,,,,,,,,,,
195,1,0,1,1,2,,,,,,,,,,,
196,1,0,1,1,2,,,,,,,,,,,
197,1,0,1,1,2,,,,,,,,,,,
198,1,0,1,1,2,,,,,,,,,,,
199,1,0,1,1,2,,,,,,,,,,,
200,1,0,1,1,2,,,,,,,,,,,
201,1,0,1,1,2,,,,,,,,,,,
202,1,0,1,1,2,,,,,,,,,,,
203,1,0,1,1,2,,,,,,,,,,,
204,1,0,1,1,2,,,,,,,,,,,
205,0,0,0,0,0,,,,,,,,,,,
206,0,0,0,0,0,,,,,,,,,,,
207,0,0,0,0,0,,,,,,,,,,,
208,0,0,0,0,0,,,,,,,,,,,
209,1,1,1,2,3,,,,,,,,,,,
210,1,1,1,2,3,,,,,,,,,,,
211,0,0,1,0,1,,,,,,,,,,,
212,1,1,1,2,3,,,,,,,,,,,
213,0,0,1,0,1,,,,,,,,,,,
214,1,0,0,1,1,,,,,,,,,,,
215,1,0,1,1,2,,,,,,,,,,,
216,1,0,1,1,2,,,,,,,,,,,
217,0,0,1,0,1,,,,,,,,,,,
218,1,0,1,1,2,,,,,,,,,,,
219,0,0,0,0,0,,,,,,,,,,,
220,1,0,0,1,1,,,,,,,,,,,
221,0,0,0,0,0,,,,,,,,,,,
222,0,0,0,0,0,,,,,,,,,,,
223,0,0,0,0,0,,,,,,,,,,,
224,1,1,1,2,3,,,,,,,,,,,
225,1,1,1,2,3,,,,,,,,,,,
226,1,1,1,2,3,,,,,,,,,,,
227,1,0,1,1,2,,,,,,,,,,,
228,0,0,0,0,0,,,,,,,,,,,
229,0,0,0,0,0,,,,,,,,,,,
230,0,0,0,0,0,,,,,,,,,,,
231,0,0,0,0,0,,,,,,,,,,,
232,0,0,0,0,0,,,,,,,,,,,
233,0,0,0,0,0,,,,,,,,,,,
234,0,0,0,0,0,,,,,,,,,,,
235,0,0,0,0,0,,,,,,,,,,,
236,0,0,0,0,0,,,,,,,,,,,
237,1,0,0,1,1,,,,,,,,,,,
238,0,0,0,0,0,,,,,,,,,,,
239,0,0,0,0,0,,,,,,,,,,,
240,0,1,1,1,2,,,,,,,,,,,
241,0,0,0,0,0,,,,,,,,,,,
242,1,0,1,1,2,,,,,,,,,,,
243,1,1,1,2,3,,,,,,,,,,,
244,1,0,1,1,2,,,,,,,,,,,
245,1,0,1,1,2,,,,,,,,,,,
246,1,0,1,1,2,,,,,,,,,,,
247,1,0,1,1,2,,,,,,,,,,,
248,1,0,1,1,2,,,,,,,,,,,
249,1,0,1,1,2,,,,,,,,,,,
250,1,0,1,1,2,,,,,,,,,,,
251,1,0,1,1,2,,,,,,,,,,,
252,1,0,1,1,2,,,,,,,,,,,
253,1,0,1,1,2,,,,,,,,,,,
254,1,0,1,1,2,,,,,,,,,,,
255,1,1,1,2,3,,,,,,,,,,,
256,1,1,1,2,3,,,,,,,,,,,
257,1,0,1,1,2,,,,,,,,,,,
258,1,1,1,2,3,,,,,,,,,,,
259,1,1,1,2,3,,,,,,,,,,,
260,1,1,1,2,3,,,,,,,,,,,
261,1,0,1,1,2,,,,,,,,,,,
262,1,0,1,1,2,,,,,,,,,,,
263,1,0,1,1,2,,,,,,,,,,,
264,1,0,0,1,1,,,,,,,,,,,
265,1,1,0,2,2,,,,,,,,,,,
266,1,1,1,2,3,,,,,,,,,,,
267,0,0,0,0,0,,,,,,,,,,,
268,1,1,1,2,3,,,,,,,,,,,
269,1,0,1,1,2,,,,,,,,,,,
270,1,1,1,2,3,,,,,,,,,,,
